region,tenure,age,marital,address,income,ed,employ,retire,gender,reside,tollfree,equip,callcard,wireless,longmon,tollmon,equipmon,cardmon,wiremon,longten,tollten,equipten,cardten,wireten,multline,voice,pager,internet,callid,callwait,forward,confer,ebill,loglong,logtoll,logequi,logcard,logwire,lninc,custcat,churn
2.000,13.000,44.000,1.000,9.000,64.000,4.000,5.000,0.000,0.000,2.000,0.000,0.000,1.000,0.000,3.700,0.000,0.000,7.500,0.000,37.450,0.000,0.000,110.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,1.308,,,2.015,,4.159,1.000,1.000
3.000,11.000,33.000,1.000,7.000,136.000,5.000,5.000,0.000,0.000,6.000,1.000,0.000,1.000,1.000,4.400,20.750,0.000,15.250,35.700,42.000,211.450,0.000,125.000,380.350,0.000,1.000,1.000,0.000,1.000,1.000,1.000,1.000,0.000,1.482,3.033,,2.725,3.575,4.913,4.000,1.000
3.000,68.000,52.000,1.000,24.000,116.000,1.000,29.000,0.000,1.000,2.000,1.000,0.000,1.000,0.000,18.150,18.000,0.000,30.250,0.000,1300.600,1247.200,0.000,2150.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,1.000,0.000,2.899,2.890,,3.409,,4.754,3.000,0.000
2.000,33.000,33.000,0.000,12.000,33.000,2.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,9.450,0.000,0.000,0.000,0.000,288.800,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.246,,,,,3.497,1.000,1.000
2.000,23.000,30.000,1.000,9.000,30.000,1.000,2.000,0.000,0.000,4.000,0.000,0.000,0.000,0.000,6.300,0.000,0.000,0.000,0.000,157.050,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,1.841,,,,,3.401,3.000,0.000
2.000,41.000,39.000,0.000,17.000,78.000,2.000,16.000,0.000,1.000,1.000,1.000,0.000,1.000,0.000,11.800,19.250,0.000,13.500,0.000,487.400,798.400,0.000,570.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,2.468,2.958,,2.603,,4.357,3.000,0.000
3.000,45.000,22.000,1.000,2.000,19.000,2.000,4.000,0.000,1.000,5.000,0.000,0.000,1.000,0.000,10.900,0.000,0.000,8.750,0.000,504.500,0.000,0.000,415.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,0.000,0.000,1.000,2.389,,,2.169,,2.944,2.000,1.000
2.000,38.000,35.000,0.000,5.000,76.000,2.000,10.000,0.000,0.000,3.000,1.000,1.000,1.000,1.000,6.050,45.000,50.100,23.250,64.900,239.550,1873.050,1820.900,880.000,2256.700,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.800,3.807,3.914,3.146,4.173,4.331,4.000,0.000
3.000,45.000,59.000,1.000,7.000,166.000,4.000,31.000,0.000,0.000,5.000,1.000,0.000,1.000,0.000,9.750,28.500,0.000,12.000,0.000,449.050,1240.150,0.000,505.000,0.000,1.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,2.277,3.350,,2.485,,5.112,3.000,0.000
1.000,68.000,41.000,1.000,21.000,72.000,1.000,22.000,0.000,0.000,3.000,0.000,0.000,1.000,0.000,24.150,0.000,0.000,16.500,0.000,1659.700,0.000,0.000,1155.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.184,,,2.803,,4.277,2.000,0.000
2.000,5.000,33.000,0.000,10.000,125.000,4.000,5.000,0.000,1.000,1.000,0.000,1.000,0.000,0.000,4.850,0.000,26.150,0.000,0.000,17.250,0.000,110.100,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,1.000,1.579,,3.264,,,4.828,1.000,1.000
3.000,7.000,35.000,0.000,14.000,80.000,2.000,15.000,0.000,1.000,1.000,1.000,0.000,1.000,0.000,7.100,22.000,0.000,23.750,0.000,47.450,166.100,0.000,145.000,0.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,1.960,3.091,,3.168,,4.382,3.000,0.000
1.000,41.000,38.000,1.000,8.000,37.000,2.000,9.000,0.000,1.000,3.000,0.000,0.000,1.000,0.000,8.550,0.000,0.000,41.750,0.000,308.700,0.000,0.000,1650.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.146,,,3.732,,3.611,1.000,0.000
2.000,57.000,54.000,1.000,30.000,115.000,4.000,23.000,0.000,1.000,3.000,1.000,1.000,0.000,1.000,15.600,46.250,46.700,0.000,61.050,825.350,2624.250,2590.950,0.000,3348.850,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,2.747,3.834,3.844,,4.112,4.745,4.000,1.000
2.000,9.000,46.000,0.000,3.000,25.000,1.000,8.000,0.000,1.000,2.000,0.000,0.000,0.000,0.000,4.400,0.000,0.000,0.000,0.000,36.800,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.482,,,,,3.219,1.000,0.000
1.000,29.000,38.000,1.000,12.000,75.000,5.000,1.000,0.000,0.000,4.000,0.000,1.000,1.000,0.000,5.100,0.000,30.250,11.250,0.000,146.250,0.000,780.800,295.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.629,,3.409,2.420,,4.317,2.000,0.000
3.000,60.000,57.000,0.000,38.000,162.000,2.000,30.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,16.150,29.750,31.300,30.000,0.000,946.900,1767.600,1788.950,1795.000,0.000,1.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,2.782,3.393,3.444,3.401,,5.088,3.000,0.000
3.000,34.000,48.000,0.000,3.000,49.000,2.000,6.000,0.000,1.000,3.000,1.000,0.000,0.000,0.000,6.650,18.500,0.000,0.000,0.000,230.800,614.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,0.000,1.895,2.918,,,,3.892,3.000,0.000
2.000,1.000,24.000,0.000,3.000,20.000,1.000,3.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.050,0.000,0.000,0.000,0.000,1.050,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.049,,,,,2.996,1.000,0.000
1.000,26.000,29.000,1.000,3.000,77.000,4.000,2.000,0.000,0.000,4.000,0.000,1.000,1.000,1.000,6.700,0.000,48.100,24.250,38.300,140.950,0.000,1132.800,610.000,910.100,1.000,1.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.902,,3.873,3.188,3.645,4.344,4.000,1.000
3.000,6.000,30.000,0.000,7.000,16.000,3.000,1.000,0.000,1.000,1.000,0.000,1.000,0.000,1.000,3.750,0.000,33.800,0.000,18.700,25.650,0.000,175.300,0.000,78.200,1.000,0.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,1.322,,3.520,,2.929,2.773,2.000,1.000
1.000,68.000,52.000,1.000,17.000,120.000,1.000,24.000,0.000,0.000,2.000,0.000,0.000,1.000,0.000,20.700,0.000,0.000,22.000,0.000,1391.050,0.000,0.000,1505.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,3.030,,,3.091,,4.787,1.000,0.000
3.000,53.000,33.000,0.000,10.000,101.000,5.000,4.000,0.000,1.000,2.000,0.000,1.000,1.000,1.000,5.300,0.000,49.600,26.750,51.400,253.350,0.000,2499.800,1340.000,2645.150,1.000,1.000,0.000,1.000,0.000,1.000,1.000,1.000,1.000,1.668,,3.904,3.287,3.940,4.615,4.000,0.000
3.000,55.000,48.000,1.000,19.000,67.000,1.000,25.000,0.000,0.000,3.000,0.000,0.000,1.000,0.000,15.050,0.000,0.000,27.250,0.000,810.450,0.000,0.000,1390.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.711,,,3.305,,4.205,1.000,0.000
3.000,14.000,43.000,1.000,18.000,36.000,1.000,5.000,0.000,0.000,5.000,1.000,0.000,1.000,0.000,12.500,19.750,0.000,18.000,0.000,153.750,273.750,0.000,215.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,2.526,2.983,,2.890,,3.584,3.000,0.000
2.000,1.000,21.000,0.000,0.000,33.000,2.000,0.000,0.000,1.000,3.000,1.000,0.000,1.000,0.000,2.200,20.750,0.000,40.500,0.000,2.200,20.750,0.000,40.500,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,0.000,0.788,3.033,,3.701,,3.497,3.000,0.000
2.000,42.000,40.000,0.000,7.000,37.000,2.000,8.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,8.250,23.500,36.900,28.000,37.400,399.150,950.650,1532.900,1190.000,1562.000,1.000,1.000,0.000,1.000,1.000,1.000,0.000,1.000,1.000,2.110,3.157,3.608,3.332,3.622,3.611,4.000,0.000
3.000,25.000,33.000,1.000,11.000,31.000,1.000,5.000,0.000,0.000,4.000,0.000,0.000,0.000,0.000,9.100,0.000,0.000,0.000,0.000,234.950,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000,0.000,2.208,,,,,3.434,3.000,0.000
1.000,9.000,21.000,1.000,1.000,17.000,2.000,2.000,0.000,1.000,3.000,0.000,0.000,0.000,0.000,2.900,0.000,0.000,0.000,0.000,25.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.065,,,,,2.833,1.000,0.000
2.000,13.000,33.000,1.000,9.000,19.000,4.000,0.000,0.000,1.000,2.000,0.000,1.000,0.000,0.000,5.550,0.000,27.350,0.000,0.000,75.250,0.000,330.650,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,1.000,1.714,,3.309,,,2.944,2.000,0.000
1.000,56.000,37.000,1.000,6.000,36.000,1.000,13.000,0.000,1.000,2.000,0.000,1.000,1.000,0.000,10.600,0.000,31.100,18.250,0.000,582.600,0.000,1756.350,1005.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,2.361,,3.437,2.904,,3.584,2.000,0.000
1.000,71.000,53.000,1.000,27.000,155.000,5.000,12.000,0.000,0.000,2.000,1.000,0.000,1.000,1.000,21.000,56.000,0.000,34.000,49.950,1519.200,4064.300,0.000,2345.000,3646.900,1.000,1.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,3.045,4.025,,3.526,3.911,5.043,4.000,0.000
1.000,35.000,50.000,1.000,26.000,140.000,2.000,21.000,0.000,1.000,4.000,1.000,0.000,1.000,0.000,6.500,27.500,0.000,35.000,0.000,247.550,1068.250,0.000,1215.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,0.000,1.872,3.314,,3.555,,4.942,3.000,0.000
1.000,11.000,27.000,1.000,8.000,55.000,5.000,0.000,0.000,0.000,3.000,0.000,1.000,0.000,0.000,4.800,0.000,19.550,0.000,0.000,54.100,0.000,220.400,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.569,,2.973,,,4.007,2.000,0.000
2.000,60.000,46.000,1.000,13.000,163.000,3.000,24.000,0.000,0.000,2.000,1.000,1.000,1.000,1.000,33.900,38.250,44.650,13.750,55.250,1947.950,2326.350,2645.850,840.000,3125.950,1.000,1.000,1.000,1.000,0.000,1.000,1.000,1.000,1.000,3.523,3.644,3.799,2.621,4.012,5.094,4.000,0.000
3.000,20.000,35.000,1.000,11.000,52.000,4.000,0.000,0.000,0.000,2.000,0.000,1.000,0.000,0.000,4.250,0.000,30.550,0.000,0.000,82.700,0.000,547.150,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,1.447,,3.419,,,3.951,2.000,1.000
2.000,54.000,60.000,0.000,38.000,211.000,4.000,25.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,21.150,39.250,46.350,54.250,54.850,1228.700,2102.250,2421.300,2785.000,2895.850,1.000,1.000,1.000,1.000,1.000,0.000,0.000,1.000,1.000,3.052,3.670,3.836,3.994,4.005,5.352,4.000,0.000
1.000,44.000,57.000,1.000,1.000,186.000,2.000,17.000,0.000,0.000,2.000,1.000,0.000,1.000,1.000,9.800,33.500,0.000,36.000,41.650,428.250,1379.550,0.000,1535.000,1826.700,1.000,1.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,2.282,3.512,,3.584,3.729,5.226,3.000,0.000
1.000,11.000,41.000,1.000,0.000,39.000,1.000,1.000,0.000,1.000,2.000,1.000,0.000,1.000,0.000,6.550,29.250,0.000,19.750,0.000,67.800,303.650,0.000,200.000,0.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,1.879,3.376,,2.983,,3.664,3.000,1.000
2.000,72.000,57.000,0.000,34.000,22.000,2.000,35.000,1.000,1.000,1.000,1.000,0.000,1.000,0.000,41.750,49.000,0.000,18.750,0.000,3043.050,3581.000,0.000,1360.000,0.000,1.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,3.732,3.892,,2.931,,3.091,3.000,0.000
3.000,10.000,41.000,0.000,7.000,30.000,1.000,7.000,0.000,0.000,1.000,1.000,0.000,1.000,0.000,2.500,19.250,0.000,53.750,0.000,31.250,178.200,0.000,490.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,0.916,2.958,,3.984,,3.401,3.000,0.000
2.000,15.000,28.000,0.000,0.000,29.000,2.000,4.000,0.000,1.000,1.000,1.000,0.000,1.000,0.000,4.250,30.000,0.000,17.750,0.000,78.000,426.050,0.000,255.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,1.447,3.401,,2.876,,3.367,3.000,0.000
2.000,27.000,28.000,1.000,4.000,23.000,2.000,8.000,0.000,0.000,5.000,0.000,0.000,0.000,0.000,6.200,0.000,0.000,0.000,0.000,180.150,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.825,,,,,3.135,1.000,0.000
1.000,9.000,36.000,1.000,14.000,62.000,4.000,10.000,0.000,0.000,6.000,0.000,1.000,0.000,1.000,5.650,0.000,46.750,0.000,48.500,43.300,0.000,386.600,0.000,364.850,1.000,1.000,1.000,1.000,0.000,0.000,0.000,1.000,1.000,1.732,,3.845,,3.882,4.127,4.000,1.000
1.000,64.000,43.000,1.000,20.000,76.000,4.000,20.000,0.000,1.000,4.000,1.000,0.000,1.000,0.000,14.700,18.750,0.000,11.000,0.000,897.050,1279.250,0.000,680.000,0.000,1.000,0.000,0.000,0.000,1.000,1.000,0.000,1.000,0.000,2.688,2.931,,2.398,,4.331,3.000,0.000
1.000,65.000,41.000,1.000,3.000,74.000,4.000,16.000,0.000,0.000,2.000,0.000,1.000,1.000,0.000,14.500,0.000,37.000,17.000,0.000,963.300,0.000,2263.050,1065.000,0.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,2.674,,3.611,2.833,,4.304,2.000,0.000
1.000,49.000,51.000,1.000,27.000,63.000,4.000,19.000,0.000,0.000,5.000,1.000,0.000,1.000,0.000,12.850,25.750,0.000,14.250,0.000,585.600,1278.450,0.000,635.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,0.000,0.000,1.000,2.553,3.248,,2.657,,4.143,2.000,0.000
3.000,47.000,41.000,1.000,0.000,36.000,4.000,8.000,0.000,0.000,2.000,0.000,1.000,1.000,1.000,7.750,0.000,37.450,18.500,38.800,361.000,0.000,1717.750,845.000,1730.400,1.000,0.000,1.000,1.000,0.000,1.000,0.000,1.000,1.000,2.048,,3.623,2.918,3.658,3.584,4.000,1.000
3.000,9.000,34.000,1.000,9.000,33.000,2.000,8.000,0.000,1.000,4.000,0.000,1.000,0.000,0.000,2.950,0.000,22.950,0.000,0.000,18.900,0.000,208.550,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.082,,3.133,,,3.497,1.000,1.000
1.000,5.000,36.000,0.000,14.000,29.000,2.000,9.000,0.000,1.000,1.000,1.000,0.000,1.000,1.000,3.250,31.500,0.000,15.500,26.750,16.800,154.650,0.000,60.000,98.600,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.179,3.450,,2.741,3.287,3.367,3.000,1.000
2.000,30.000,34.000,1.000,4.000,27.000,2.000,1.000,0.000,0.000,5.000,0.000,1.000,0.000,0.000,6.300,0.000,22.500,0.000,0.000,150.900,0.000,690.750,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.841,,3.114,,,3.296,1.000,1.000
1.000,56.000,52.000,1.000,28.000,49.000,2.000,12.000,0.000,0.000,4.000,0.000,0.000,1.000,0.000,24.750,0.000,0.000,22.250,0.000,1349.050,0.000,0.000,1215.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.209,,,3.102,,3.892,2.000,0.000
3.000,10.000,22.000,0.000,0.000,24.000,4.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,7.800,23.750,37.250,22.500,30.050,63.000,222.550,330.400,185.000,306.300,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,2.054,3.168,3.618,3.114,3.403,3.178,4.000,0.000
1.000,7.000,26.000,1.000,3.000,26.000,2.000,2.000,0.000,0.000,5.000,1.000,0.000,0.000,0.000,4.850,15.500,0.000,0.000,0.000,33.700,136.550,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.579,2.741,,,,3.258,1.000,0.000
1.000,52.000,27.000,0.000,6.000,47.000,3.000,5.000,0.000,0.000,2.000,1.000,0.000,1.000,0.000,6.250,18.500,0.000,14.250,0.000,330.400,942.650,0.000,725.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,1.833,2.918,,2.657,,3.850,1.000,0.000
2.000,36.000,45.000,1.000,1.000,94.000,2.000,18.000,0.000,1.000,5.000,1.000,1.000,0.000,0.000,7.200,15.750,28.350,0.000,0.000,258.750,553.800,1043.800,0.000,0.000,0.000,0.000,1.000,1.000,1.000,0.000,0.000,1.000,0.000,1.974,2.757,3.345,,,4.543,1.000,1.000
3.000,27.000,34.000,0.000,8.000,21.000,3.000,4.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,7.650,0.000,0.000,0.000,0.000,213.450,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.035,,,,,3.045,2.000,0.000
