ID,GENDER,BDATE,EDUC,JOBCAT,SALARY,SALBEGIN,JOBTIME,PREVEXP,MINORITY
1.000,"m",1952-02-03,15.000,3.000,57000.000,27000.000,98.000,144.000,0.000
2.000,"m",1958-05-23,16.000,1.000,40200.000,18750.000,98.000,36.000,0.000
3.000,"f",1929-07-26,12.000,1.000,21450.000,12000.000,98.000,381.000,0.000
4.000,"f",1947-04-15,8.000,1.000,21900.000,13200.000,98.000,190.000,0.000
5.000,"m",1955-02-09,15.000,1.000,45000.000,21000.000,98.000,138.000,0.000
6.000,"m",1958-08-22,15.000,1.000,32100.000,13500.000,98.000,67.000,0.000
7.000,"m",1956-04-26,15.000,1.000,36000.000,18750.000,98.000,114.000,0.000
8.000,"f",1966-05-06,12.000,1.000,21900.000,9750.000,98.000,0.000,0.000
9.000,"f",1946-01-23,15.000,1.000,27900.000,12750.000,98.000,115.000,0.000
10.000,"f",1946-02-13,12.000,1.000,24000.000,13500.000,98.000,244.000,0.000
11.000,"f",1950-02-07,16.000,1.000,30300.000,16500.000,98.000,143.000,0.000
12.000,"m",1966-01-11,8.000,1.000,28350.000,12000.000,98.000,26.000,1.000
13.000,"m",1960-07-17,15.000,1.000,27750.000,14250.000,98.000,34.000,1.000
14.000,"f",1949-02-26,15.000,1.000,35100.000,16800.000,98.000,137.000,1.000
15.000,"m",1962-08-29,12.000,1.000,27300.000,13500.000,97.000,66.000,0.000
16.000,"m",1964-11-17,12.000,1.000,40800.000,15000.000,97.000,24.000,0.000
17.000,"m",1962-07-18,15.000,1.000,46000.000,14250.000,97.000,48.000,0.000
18.000,"m",1956-03-20,16.000,3.000,103750.000,27510.000,97.000,70.000,0.000
19.000,"m",1962-08-19,12.000,1.000,42300.000,14250.000,97.000,103.000,0.000
20.000,"f",1940-01-23,12.000,1.000,26250.000,11550.000,97.000,48.000,0.000
21.000,"f",1963-02-19,16.000,1.000,38850.000,15000.000,97.000,17.000,0.000
22.000,"m",1940-09-24,12.000,1.000,21750.000,12750.000,97.000,315.000,1.000
23.000,"f",1965-03-15,15.000,1.000,24000.000,11100.000,97.000,75.000,1.000
24.000,"f",1933-03-27,12.000,1.000,16950.000,9000.000,97.000,124.000,1.000
25.000,"f",1942-07-01,15.000,1.000,21150.000,9000.000,97.000,171.000,1.000
26.000,"m",1966-11-08,15.000,1.000,31050.000,12600.000,96.000,14.000,0.000
27.000,"m",1954-03-19,19.000,3.000,60375.000,27480.000,96.000,96.000,0.000
28.000,"m",1963-04-11,15.000,1.000,32550.000,14250.000,96.000,43.000,0.000
29.000,"m",1944-01-28,19.000,3.000,135000.000,79980.000,96.000,199.000,0.000
30.000,"m",1961-09-17,15.000,1.000,31200.000,14250.000,96.000,54.000,0.000
31.000,"m",1964-02-24,12.000,1.000,36150.000,14250.000,96.000,83.000,0.000
32.000,"m",1954-01-28,19.000,3.000,110625.000,45000.000,96.000,120.000,0.000
33.000,"m",1961-03-18,15.000,1.000,42000.000,15000.000,96.000,68.000,0.000
34.000,"m",1949-02-02,19.000,3.000,92000.000,39990.000,96.000,175.000,0.000
35.000,"m",1961-08-22,17.000,3.000,81250.000,30000.000,96.000,18.000,0.000
36.000,"f",1963-08-07,8.000,1.000,31350.000,11250.000,96.000,52.000,0.000
37.000,"m",1954-10-09,12.000,1.000,29100.000,13500.000,96.000,113.000,1.000
38.000,"m",1962-04-27,15.000,1.000,31350.000,15000.000,96.000,49.000,1.000
39.000,"m",1960-06-22,16.000,1.000,36000.000,15000.000,96.000,46.000,1.000
40.000,"f",1933-08-28,15.000,1.000,19200.000,9000.000,96.000,23.000,1.000
41.000,"f",1961-03-18,12.000,1.000,23550.000,11550.000,96.000,52.000,1.000
42.000,"m",1960-09-23,15.000,1.000,35100.000,16500.000,95.000,90.000,0.000
43.000,"m",1964-01-18,12.000,1.000,23250.000,14250.000,95.000,46.000,0.000
44.000,"m",1963-06-15,8.000,1.000,29250.000,14250.000,95.000,50.000,0.000
45.000,"m",1938-08-02,12.000,2.000,30750.000,13500.000,95.000,307.000,0.000
46.000,"f",1940-11-18,15.000,1.000,22350.000,12750.000,95.000,165.000,0.000
47.000,"f",1938-04-28,12.000,1.000,30000.000,16500.000,95.000,228.000,0.000
48.000,"m",1947-06-07,12.000,2.000,30750.000,14100.000,94.000,240.000,0.000
49.000,"m",1958-09-16,15.000,1.000,34800.000,16500.000,94.000,93.000,0.000
50.000,"m",1960-02-09,16.000,3.000,60000.000,23730.000,94.000,59.000,0.000
51.000,"m",1962-07-08,12.000,1.000,35550.000,15000.000,94.000,48.000,0.000
52.000,"m",1963-11-12,15.000,1.000,45150.000,15000.000,94.000,40.000,0.000
